epoch	loss	acc	val_loss	val_acc
0	2.093901	0.605489	30.364272	0.083333
1	1.241058	0.768439	24.907128	0.113095
2	0.639066	0.837907	22.246915	0.136905
3	0.436996	0.891938	25.733172	0.095238
4	0.235651	0.932247	20.568798	0.154762
5	0.216864	0.937075	11.670629	0.148810
6	0.189486	0.948962	14.942981	0.089286
7	0.175954	0.951973	18.015559	0.202381
8	0.156383	0.951973	12.811422	0.279762
9	0.147872	0.956261	14.028924	0.261905
10	0.082209	0.975986	7.636793	0.440476
11	0.083422	0.974271	7.334481	0.428571
12	0.092466	0.972556	12.287682	0.327381
13	0.058780	0.976844	5.607828	0.500000
14	0.165565	0.964837	8.647715	0.398810
15	0.081058	0.975340	12.021491	0.303571
16	0.059592	0.981834	3.772848	0.630952
17	0.089723	0.974490	12.725685	0.303571
18	0.049947	0.982847	5.262323	0.630952
19	0.044025	0.987024	6.826678	0.535714
20	0.058314	0.983705	5.216699	0.630952
21	0.039941	0.991424	3.969559	0.690476
22	0.034867	0.990646	4.494574	0.666667
23	0.048134	0.989708	3.404701	0.690476
24	0.034030	0.987136	3.863685	0.696429
25	0.028221	0.989619	3.164236	0.732143
26	0.034829	0.986278	2.293457	0.797619
27	0.030088	0.992347	2.049219	0.785714
28	0.007689	0.997427	2.133298	0.791667
29	0.012929	0.995712	2.608161	0.738095
