epoch	loss	acc	val_loss	val_acc
0	0.886870	0.731561	0.939915	0.785714
1	0.152459	0.945112	1.229572	0.755952
2	0.122990	0.954545	1.116501	0.803571
3	0.080613	0.974271	0.336917	0.898810
4	0.040591	0.990566	0.501586	0.857143
5	0.027708	0.991424	0.538088	0.833333
6	0.017400	0.994854	0.572484	0.833333
7	0.022017	0.993139	0.402842	0.863095
8	0.019146	0.996569	0.319475	0.922619
9	0.013899	0.995712	0.603151	0.833333
10	0.015854	0.993197	0.430883	0.875000
11	0.016250	0.995712	0.628996	0.809524
12	0.011429	0.997405	0.562808	0.875000
13	0.017220	0.996569	0.409250	0.892857
14	0.009718	0.997427	0.377778	0.898810
15	0.008798	0.996569	0.529517	0.851190
16	0.014265	0.996569	0.316054	0.910714
17	0.008096	0.997427	0.258248	0.892857
18	0.003728	0.999150	0.222401	0.910714
19	0.005195	0.999142	0.252755	0.910714
20	0.015144	0.997405	0.325269	0.904762
21	0.003959	1.000000	0.264106	0.898810
22	0.003403	0.999135	0.248383	0.904762
23	0.008249	0.998285	0.201484	0.922619
24	0.002167	0.999150	0.178804	0.964286
25	0.003955	0.999142	0.254457	0.904762
26	0.003151	0.999135	0.212203	0.916667
27	0.003098	1.000000	0.207058	0.928571
28	0.002044	1.000000	0.237239	0.910714
29	0.001850	1.000000	0.243767	0.904762
30	0.002792	1.000000	0.277399	0.898810
31	0.001245	1.000000	0.206125	0.922619
32	0.006489	0.998270	0.208274	0.928571
33	0.005734	0.997427	0.345621	0.886905
34	0.002996	1.000000	0.304776	0.886905
35	0.003371	0.998270	0.302883	0.898810
36	0.003145	0.999150	0.294112	0.910714
37	0.008944	0.997427	0.180835	0.952381
38	0.002910	1.000000	0.339937	0.892857
39	0.002840	1.000000	0.295575	0.904762
40	0.002020	1.000000	0.246101	0.916667
41	0.001915	1.000000	0.253826	0.922619
42	0.002466	1.000000	0.262737	0.916667
43	0.001270	0.999142	0.292831	0.904762
44	0.003460	0.999142	0.232404	0.928571
45	0.001634	1.000000	0.208385	0.928571
46	0.000867	1.000000	0.201391	0.940476
47	0.000867	1.000000	0.201846	0.940476
48	0.000893	1.000000	0.198052	0.934524
49	0.001208	1.000000	0.204547	0.934524
