epoch	loss	acc	val_loss	val_acc
0	0.948195	0.710884	0.489039	0.863095
1	0.203579	0.945969	0.470798	0.917808
2	0.103449	0.967410	0.161321	0.945206
3	0.115870	0.967410	0.566594	0.869863
4	0.074099	0.980274	0.064303	0.979452
5	0.035029	0.989708	0.170740	0.965753
6	0.031429	0.993139	0.065465	0.986301
7	0.027611	0.990566	0.150277	0.958904
8	0.025334	0.994854	0.178156	0.958333
9	0.024312	0.990566	0.150758	0.945206
10	0.031300	0.989708	0.241979	0.952055
11	0.028180	0.991424	0.109527	0.958904
12	0.010213	0.997427	0.151319	0.945206
13	0.009751	0.998285	0.068235	0.965753
14	0.006006	0.998285	0.129959	0.952055
15	0.009534	0.996569	0.146791	0.945206
16	0.010408	0.996569	0.158562	0.952381
17	0.011426	0.996569	0.138537	0.945206
18	0.004308	1.000000	0.098670	0.958904
19	0.006195	0.998285	0.148773	0.952055
20	0.003850	1.000000	0.071175	0.965753
21	0.005160	0.999142	0.147599	0.945205
22	0.003888	1.000000	0.160725	0.952055
23	0.002858	1.000000	0.126213	0.965753
24	0.003269	1.000000	0.113813	0.964286
25	0.005993	0.998285	0.071485	0.979452
26	0.004660	0.999142	0.076236	0.972603
27	0.009438	0.996569	0.034776	0.993151
28	0.011440	0.997427	0.099768	0.965753
29	0.018613	0.993997	0.134984	0.972603
